DEPTO,ENVASE,PRODUCTO_VENTA,PRECIO_VENTA,DEPT_INV,ARTICULO_INVENT,COSTO_UNIT,CANT,COSTO_PORCION,CONSUMO,
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CHORIZO,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CHORIZO,8,CARNES,CHORIZO MEJICANO,0.0067,1.363,9.13210023641586E-03,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CARNE,8,VEGETALES ,CILANTRO,0.0013,0.045,5.85000023245811E-05,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CARNE,8,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
ARROZ A LA MEXICANA,Sin Envase,ARROZ CON CARNE,8,CARNES,CARNE MOLIDA,0.0046,1.363,6.26980016231537E-03,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,VEGETALES ,ZANAHORIA,0.001,0.364,3.63999992609024E-04,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,VEGETALES ,CEBOLLA MORADA,0.002,0.455,9.10000026226044E-04,GRAMOS
FLAUTAS,Sin Envase,FLAUTAS PANCHO VILLA,12.5,VEGETALES ,CILANTRO,0.0013,0.091,1.18299997597933E-04,GRAMOS
FLAUTAS,Sin Envase,FLAUTA POLLO,10,QUESOS / LECHE,QUESO FRESCO,0.0066,1.136,7.49760024547577E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CARNE,10,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
SOPAS,Sin Envase,CALDO DE POLLO,6.5,QUESOS / LECHE,MONTERREY JACK,0.0066,0.455,3.00300008654594E-03,GRAMOS
SOPAS,Sin Envase,CALDO DE POLLO,6.5,POLLOS o AVES,PECHUGA DE POLLO,0.0047,0.591,2.77770009636879E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA POLLO,10,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA POLLO,10,QUESOS / LECHE,CHEDAR,0.0066,0.455,3.00300008654594E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA POLLO,10,QUESOS / LECHE,MONTERREY JACK,0.0066,0.455,3.00300008654594E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA POLLO,10,POLLOS o AVES,PECHUGA DE POLLO,0.0047,2.046,9.61620001792908E-03,GRAMOS
ENTRADAS,Sin Envase,CAZUELA AZTECA CHORIZO,10,VEGETALES ,CEBOLLA MORADA,0.002,0.182,3.63999992609024E-04,GRAMOS
